"","ID1","ID2","realHWI","quantile975","affiliation975","medianHWI","meanHWI","HRO","relatedness","kintype","parent_offspring","agediff","yrsoverlap","adult_yrsoverlap","joint_sightings"
"7875","ID041","ID098",0,0.046511628,FALSE,0,0.00696290926620875,0.537914666299651,0,"unrelated","N",19,11,10,85
"7877","ID041","ID099",0,0.029411765,FALSE,0,0.00472213145545514,0.322186700206765,0.0114,"unrelated","N",8,13,13,105
"7879","ID099","ID041",0,0.029411765,FALSE,0,0.00472213145545514,0.322186700206765,0.0114,"unrelated","N",8,13,13,105
"7881","ID100","ID041",0,0.04,FALSE,0,0.00631329912084139,0.510381105873725,0,"unrelated","N",7,13,13,88
"7883","ID041","ID100",0,0.04,FALSE,0,0.00631329912084139,0.510381105873725,0,"unrelated","N",7,13,13,88
"7885","ID041","ID102",0,0.0378128609499999,FALSE,0,0.00726990654312967,0.461442974525784,0.0037,"unrelated","N",12,13,13,73
"7887","ID102","ID041",0,0.0378128609499999,FALSE,0,0.00726990654312967,0.461442974525784,0.0037,"unrelated","N",12,13,13,73
"7889","ID104","ID041",0,0.025982570075,FALSE,0,0.00449094025124174,0.304683600788817,0,"unrelated","N",20,12,11,82
"7891","ID041","ID104",0,0.025982570075,FALSE,0,0.00449094025124174,0.304683600788817,0,"unrelated","N",20,12,11,82
"7893","ID041","ID105",0,0.019900498,FALSE,0,0.00476222383716842,0.192865018046296,0,"unrelated","N",18,13,12,291
"7895","ID105","ID041",0,0.019900498,FALSE,0,0.00476222383716842,0.192865018046296,0,"unrelated","N",18,13,12,291
"7897","ID107","ID041",0.129032258064516,0.053571429,TRUE,0,0.0133534330487183,0.822380971228732,0.0282,"unrelated","N",5,13,13,83
"7899","ID041","ID107",0.129032258064516,0.053571429,TRUE,0,0.0133534330487183,0.822380971228732,0.0282,"unrelated","N",5,13,13,83
"7901","ID041","ID108",0.021505376344086,0.042588262325,FALSE,0,0.00625676716808885,0.423261629325906,0,"unrelated","N",17,13,13,91
"7903","ID108","ID041",0.021505376344086,0.042588262325,FALSE,0,0.00625676716808885,0.423261629325906,0,"unrelated","N",17,13,13,91
"7905","ID041","ID110",0.0186046511627907,0.03279365915,FALSE,0,0.00684507810963048,0.492141692080329,0,"unrelated","N",26,10,4,204
"7907","ID110","ID041",0.0186046511627907,0.03279365915,FALSE,0,0.00684507810963048,0.492141692080329,0,"unrelated","N",26,10,4,204
"7909","ID112","ID041",0,0.025974026,FALSE,0,0.00291766139713314,0.25036028524426,0,"unrelated","N",12,13,13,118
"7911","ID041","ID112",0,0.025974026,FALSE,0,0.00291766139713314,0.25036028524426,0,"unrelated","N",12,13,13,118
"7913","ID041","ID113",0.0789473684210526,0.068181818,TRUE,0,0.0154952656338329,0.76284669887358,0.0064,"unrelated","N",23,12,7,71
"7915","ID113","ID041",0.0789473684210526,0.068181818,TRUE,0,0.0154952656338329,0.76284669887358,0.0064,"unrelated","N",23,12,7,71
"7917","ID114","ID041",0,0.027777778,FALSE,0,0.00605916848802627,0.435487701840259,0,"unrelated","N",15,13,13,214
"7919","ID041","ID114",0,0.027777778,FALSE,0,0.00605916848802627,0.435487701840259,0,"unrelated","N",15,13,13,214
"7921","ID116","ID041",0.0202020202020202,0.058823529,FALSE,0,0.0146017448314286,0.722401060712032,0.0059,"unrelated","N",28,8,NA,91
"7923","ID041","ID116",0.0202020202020202,0.058823529,FALSE,0,0.0146017448314286,0.722401060712032,0.0059,"unrelated","N",28,8,NA,91
"7925","ID117","ID041",0,0.023532892675,FALSE,0,0.00532210871510144,0.215202363604811,0,"unrelated","N",0,12,12,185
"7927","ID041","ID117",0,0.023532892675,FALSE,0,0.00532210871510144,0.215202363604811,0,"unrelated","N",0,12,12,185
"7929","ID118","ID041",0,0.030781250225,FALSE,0,0.00507623738870704,0.341772098062305,0,"unrelated","N",8,13,13,89
"7931","ID041","ID118",0,0.030781250225,FALSE,0,0.00507623738870704,0.341772098062305,0,"unrelated","N",8,13,13,89
"7933","ID041","ID119",0,0.0312624008,FALSE,0,0.00312916193518,0.28282565784546,0.0602,"distant","N",3,13,13,79
"7935","ID119","ID041",0,0.0312624008,FALSE,0,0.00312916193518,0.28282565784546,0.0602,"distant","N",3,13,13,79
"7937","ID121","ID041",0.043956043956044,0.070588235,FALSE,0.0202020202020202,0.0174500540231425,0.913168217633684,0.0133,"unrelated","N",14,13,13,85
"7939","ID041","ID121",0.043956043956044,0.070588235,FALSE,0.0202020202020202,0.0174500540231425,0.913168217633684,0.0133,"unrelated","N",14,13,13,85
"7941","ID041","ID123",0,0.027777778,FALSE,0,0.00364361442268058,0.293220165103271,0.0015,"unrelated","N",13,13,13,97
"7943","ID123","ID041",0,0.027777778,FALSE,0,0.00364361442268058,0.293220165103271,0.0015,"unrelated","N",13,13,13,97
"7945","ID041","ID125",0.0263157894736842,0.070175439,FALSE,0,0.0144800635326865,0.781900650018237,0,"unrelated","N",21,13,9,73
"7947","ID125","ID041",0.0263157894736842,0.070175439,FALSE,0,0.0144800635326865,0.781900650018237,0,"unrelated","N",21,13,9,73
"7949","ID130","ID041",0.0195121951219512,0.028373859875,FALSE,0,0.00638483872661463,0.469415035360771,0,"unrelated","N",5,13,13,191
"7951","ID041","ID130",0.0195121951219512,0.028373859875,FALSE,0,0.00638483872661463,0.469415035360771,0,"unrelated","N",5,13,13,191
"7953","ID041","ID132",0,0.03125,FALSE,0,0.00410485881526244,0.194372805860088,0,"unrelated","N",4,8,8,139
"7955","ID132","ID041",0,0.03125,FALSE,0,0.00410485881526244,0.194372805860088,0,"unrelated","N",4,8,8,139
"7957","ID134","ID041",0,0.023255814,FALSE,0,0.00324877749363967,0.257311124711974,0,"unrelated","N",11,13,13,91
"7959","ID041","ID134",0,0.023255814,FALSE,0,0.00324877749363967,0.257311124711974,0,"unrelated","N",11,13,13,91
"7961","ID041","ID135",0.0451127819548872,0.059420792475,FALSE,0.0186915887850467,0.0165685418524892,0.778439165888801,0,"unrelated","N",21,13,9,124
"7963","ID135","ID041",0.0451127819548872,0.059420792475,FALSE,0.0186915887850467,0.0165685418524892,0.778439165888801,0,"unrelated","N",21,13,9,124
"7965","ID041","ID137",0,0.025,FALSE,0,0.00559967520008006,0.227025922418316,0,"unrelated","N",15,11,11,207
"7967","ID137","ID041",0,0.025,FALSE,0,0.00559967520008006,0.227025922418316,0,"unrelated","N",15,11,11,207
"7969","ID041","ID140",0,0.043478261,FALSE,0,0.00289857550255782,0.207245142376873,0.0085,"unrelated","N",17,9,9,55
"7971","ID140","ID041",0,0.043478261,FALSE,0,0.00289857550255782,0.207245142376873,0.0085,"unrelated","N",17,9,9,55
"7973","ID141","ID041",0,0.037037037,FALSE,0,0.00220731956327133,0.142947769992993,0,"unrelated","N",15,11,11,77
"7975","ID041","ID141",0,0.037037037,FALSE,0,0.00220731956327133,0.142947769992993,0,"unrelated","N",15,11,11,77
"7977","ID142","ID041",0.028169014084507,0.0555751178,FALSE,0,0.00990899755325892,0.650438567408898,0.0011,"unrelated","N",30,6,NA,68
"7979","ID041","ID142",0.028169014084507,0.0555751178,FALSE,0,0.00990899755325892,0.650438567408898,0.0011,"unrelated","N",30,6,NA,68
"7981","ID144","ID041",0,0.041237113,FALSE,0,0.00751701148895098,0.532910424584511,0,"unrelated","N",6,13,13,89
"7983","ID041","ID144",0,0.041237113,FALSE,0,0.00751701148895098,0.532910424584511,0,"unrelated","N",6,13,13,89
"7985","ID041","ID146",0,0.028985507,FALSE,0,0.00318183504296017,0.207488146785378,0,"unrelated","N",6,13,13,87
"7987","ID146","ID041",0,0.028985507,FALSE,0,0.00318183504296017,0.207488146785378,0,"unrelated","N",6,13,13,87
"7989","ID147","ID041",0.0115606936416185,0.027595852525,FALSE,0,0.00532567604194603,0.324191264165911,0,"unrelated","N",12,13,13,163
"7991","ID041","ID147",0.0115606936416185,0.027595852525,FALSE,0,0.00532567604194603,0.324191264165911,0,"unrelated","N",12,13,13,163
"7993","ID149","ID041",0,0.037735849,FALSE,0,0.00408543400202191,0.294316381247028,0.0278,"unrelated","N",30,6,NA,65
"7995","ID041","ID149",0,0.037735849,FALSE,0,0.00408543400202191,0.294316381247028,0.0278,"unrelated","N",30,6,NA,65
"7997","ID041","ID150",0,0.031496063,FALSE,0,0.00748642401551922,0.458170939157915,0.0068,"unrelated","N",19,13,11,193
"7999","ID150","ID041",0,0.031496063,FALSE,0,0.00748642401551922,0.458170939157915,0.0068,"unrelated","N",19,13,11,193
"8001","ID151","ID041",0,0.041666667,FALSE,0,0.0038457216225218,0.269992003538111,0,"unrelated","N",31,5,NA,60
"8003","ID041","ID151",0,0.041666667,FALSE,0,0.0038457216225218,0.269992003538111,0,"unrelated","N",31,5,NA,60
