"ID1","ID2","HRO","relatedness","kintype","parent_offspring","agediff","yrsoverlap","adult_yrsoverlap","joint_sightings"
"ID015","ID150",0.184827166706496,0,"unrelated","N",0,13,11,192
"ID128","ID015",0.457787397889212,0,"unrelated","N",12,6,NA,42
"ID015","ID128",0.457787397889212,0,"unrelated","N",12,6,NA,42
"ID129","ID015",0.0574258340062471,0.0065,"unrelated","N",14,5,NA,40
"ID015","ID129",0.0574258340062471,0.0065,"unrelated","N",14,5,NA,40
"ID017","ID015",0.182740849826072,NA,"no data","N",4,3,NA,36
"ID015","ID017",0.182740849826072,NA,"no data","N",4,3,NA,36
"ID049","ID015",0.239823477740737,0,"unrelated","N",2,13,9,161
"ID015","ID049",0.239823477740737,0,"unrelated","N",2,13,9,161
"ID015","ID057",0.168184580938072,0,"unrelated","N",12,10,8,110
"ID057","ID015",0.168184580938072,0,"unrelated","N",12,10,8,110
"ID132","ID176",0.546184543421163,0,"unrelated","N",25,8,5,130
"ID176","ID132",0.546184543421163,0,"unrelated","N",25,8,5,130
"ID132","ID162",0.782797443475289,0.5135,"maternal","Y",33,3,NA,92
"ID162","ID132",0.782797443475289,0.5135,"maternal","Y",33,3,NA,92
"ID132","ID071",0.32918106160047,NA,"no data","N",1,7,7,117
"ID071","ID132",0.32918106160047,NA,"no data","N",1,7,7,117
"ID132","ID133",0.183179216825438,0.029,"unrelated","N",16,8,8,123
"ID133","ID132",0.183179216825438,0.029,"unrelated","N",16,8,8,123
"ID132","ID041",0.194372805860088,0,"unrelated","N",4,8,8,139
"ID041","ID132",0.194372805860088,0,"unrelated","N",4,8,8,139
"ID132","ID116",0.442415287057488,0.0375,"distant","N",32,4,NA,85
"ID116","ID132",0.442415287057488,0.0375,"distant","N",32,4,NA,85
"ID132","ID138",0.356154854594158,0.0114,"unrelated","N",31,4,-1,78
"ID138","ID132",0.356154854594158,0.0114,"unrelated","N",31,4,-1,78
"ID158","ID132",0.34741298664798,0.002,"unrelated","N",12,8,8,122
"ID132","ID158",0.34741298664798,0.002,"unrelated","N",12,8,8,122
"ID132","ID164",0.878306080098196,0.0205,"unrelated","N",14,8,8,192
"ID164","ID132",0.878306080098196,0.0205,"unrelated","N",14,8,8,192
"ID154","ID132",0.0976522836430147,NA,"no data","N",26,8,4,124
"ID132","ID154",0.0976522836430147,NA,"no data","N",26,8,4,124
"ID054","ID132",0.215599576082229,0,"unrelated","N",11,8,8,137
"ID132","ID054",0.215599576082229,0,"unrelated","N",11,8,8,137
"ID135","ID132",0.317999340099975,0.0093,"unrelated","N",25,8,5,156
"ID132","ID135",0.317999340099975,0.0093,"unrelated","N",25,8,5,156
"ID020","ID132",0.978040126549254,0.0301,"unrelated","N",17,8,8,214
"ID132","ID020",0.978040126549254,0.0301,"unrelated","N",17,8,8,214
"ID132","ID124",0.0351158032249413,NA,"no data","N",15,8,8,122
"ID124","ID132",0.0351158032249413,NA,"no data","N",15,8,8,122
"ID141","ID132",0.195283085127917,0,"unrelated","N",19,8,8,131
"ID132","ID141",0.195283085127917,0,"unrelated","N",19,8,8,131
"ID132","ID063",0.977878029567422,0,"unrelated","N",1,8,8,208
"ID063","ID132",0.977878029567422,0,"unrelated","N",1,8,8,208
"ID132","ID026",0.260269413705613,0.0272,"unrelated","N",30,6,0,117
"ID026","ID132",0.260269413705613,0.0272,"unrelated","N",30,6,0,117
"ID002","ID132",0.117777019083013,0.0011,"unrelated","N",22,8,8,128
"ID132","ID002",0.117777019083013,0.0011,"unrelated","N",22,8,8,128
"ID132","ID079",0.041910520638396,0,"unrelated","N",24,8,6,136
"ID079","ID132",0.041910520638396,0,"unrelated","N",24,8,6,136
"ID132","ID166",0.168786943256666,0.0094,"unrelated","N",30,6,-1,107
"ID166","ID132",0.168786943256666,0.0094,"unrelated","N",30,6,-1,107
"ID156","ID132",0.000200901446826178,0.0169,"unrelated","N",1,8,8,123
"ID132","ID156",0.000200901446826178,0.0169,"unrelated","N",1,8,8,123
"ID008","ID132",0.835509774039832,0.066,"distant","N",22,8,8,185
"ID132","ID008",0.835509774039832,0.066,"distant","N",22,8,8,185
"ID109","ID132",0,NA,"no data","N",9,8,8,124
"ID132","ID109",0,NA,"no data","N",9,8,8,124
"ID121","ID132",0.325384685432099,0.02,"unrelated","N",18,8,8,139
"ID132","ID121",0.325384685432099,0.02,"unrelated","N",18,8,8,139
"ID132","ID004",0.848933899312107,0.0461,"distant","N",36,0,NA,7
"ID004","ID132",0.848933899312107,0.0461,"distant","N",36,0,NA,7
"ID094","ID132",0.237976102068808,NA,"no data","N",26,8,3,118
"ID132","ID094",0.237976102068808,NA,"no data","N",26,8,3,118
"ID132","ID080",0.265067718261354,0.0047,"unrelated","N",10,8,8,139
"ID080","ID132",0.265067718261354,0.0047,"unrelated","N",10,8,8,139
"ID036","ID132",0.554942846614341,0,"unrelated","N",27,8,3,130
"ID132","ID036",0.554942846614341,0,"unrelated","N",27,8,3,130
"ID132","ID168",0.27817369282974,NA,"no data","N",20,7,7,92
"ID168","ID132",0.27817369282974,NA,"no data","N",20,7,7,92
"ID132","ID081",0.350860838832293,0,"unrelated","N",2,8,8,140
"ID081","ID132",0.350860838832293,0,"unrelated","N",2,8,8,140
"ID132","ID072",0.19516341377329,0.0105,"unrelated","N",12,8,8,128
"ID072","ID132",0.19516341377329,0.0105,"unrelated","N",12,8,8,128
"ID037","ID132",0.267034543384441,0,"unrelated","N",23,8,6,129
"ID132","ID037",0.267034543384441,0,"unrelated","N",23,8,6,129
"ID132","ID137",0.936699191922191,0.0354,"unrelated","N",19,8,8,198
"ID137","ID132",0.936699191922191,0.0354,"unrelated","N",19,8,8,198
"ID132","ID055",0.170809495015366,0.0187,"unrelated","N",14,8,8,128
"ID055","ID132",0.170809495015366,0.0187,"unrelated","N",14,8,8,128
"ID132","ID114",0.825814625431776,0,"unrelated","N",19,8,8,201
"ID114","ID132",0.825814625431776,0,"unrelated","N",19,8,8,201
"ID060","ID132",0.336304931193463,NA,"no data","N",4,6,6,90
"ID132","ID060",0.336304931193463,NA,"no data","N",4,6,6,90
"ID132","ID152",0.0902386982025774,0,"unrelated","N",17,8,8,121
"ID152","ID132",0.0902386982025774,0,"unrelated","N",17,8,8,121
"ID082","ID132",0.280667903159499,NA,"no data","N",24,4,1,51
"ID132","ID082",0.280667903159499,NA,"no data","N",24,4,1,51
"ID132","ID112",0.405726508062331,0.0247,"unrelated","N",16,8,8,138
"ID112","ID132",0.405726508062331,0.0247,"unrelated","N",16,8,8,138
"ID132","ID031",0.902538031669479,0,"unrelated","N",35,1,NA,38
"ID031","ID132",0.902538031669479,0,"unrelated","N",35,1,NA,38
"ID163","ID132",0.414631999025903,0,"unrelated","N",16,8,8,121
"ID132","ID163",0.414631999025903,0,"unrelated","N",16,8,8,121
"ID132","ID155",0.477974592063658,NA,"no data","N",3,5,5,67
"ID155","ID132",0.477974592063658,NA,"no data","N",3,5,5,67
"ID113","ID132",0.291181739406616,0.0012,"unrelated","N",27,7,3,121
