"Observation.ID","Date","Dolphin.ID","Age"
19993,2014-09-26,"ID138",8
20713,2015-06-20,"ID026",10
20713,2015-06-20,"ID072",28
20713,2015-06-20,"ID095",25
20713,2015-06-20,"ID173",21
20713,2015-06-20,"ID035",18
22636,2017-12-02,"ID064",14
22636,2017-12-02,"ID063",41
22747,2018-06-06,"ID021",18
22747,2018-06-06,"ID029",19
22747,2018-06-06,"ID051",29
24701,2018-06-22,"ID059",7
24701,2018-06-22,"ID087",20
24701,2018-06-22,"ID110",13
24701,2018-06-22,"ID105",21
24701,2018-06-22,"ID171",16
24701,2018-06-22,"ID114",24
24701,2018-06-22,"ID031",8
24701,2018-06-22,"ID062",8
24701,2018-06-22,"ID009",6
24701,2018-06-22,"ID150",20
24843,2018-06-15,"ID083",17
24843,2018-06-15,"ID119",36
24843,2018-06-15,"ID085",7
24843,2018-06-15,"ID002",21
24843,2018-06-15,"ID160",31
16344,2007-06-16,"ID171",5
16344,2007-06-16,"ID130",23
17001,2009-07-09,"ID018",8
17033,2009-07-18,"ID022",27
17033,2009-07-18,"ID143",11
17397,2010-04-05,"ID164",20
17397,2010-04-05,"ID008",12
17773,2010-11-01,"ID078",29
18525,2012-08-30,"ID091",6
19356,2013-10-30,"ID014",26
19867,2014-07-25,"ID164",25
20189,2014-11-17,"ID132",39
22728,2018-05-31,"ID029",19
24667,2018-06-12,"ID063",42
25168,2018-08-08,"ID162",10
17627,2010-08-05,"ID026",5
18415,2012-07-22,"ID090",15
19295,2013-10-22,"ID130",29
21305,2015-09-24,"ID078",34
21508,2016-04-23,"ID067",11
21741,2016-06-26,"ID020",24
21838,2016-08-24,"ID041",37
22551,2017-11-02,"ID036",15
16978,2009-07-07,"ID053",9
17286,2009-10-27,"ID010",30
17556,2010-06-12,"ID117",31
18174,2011-11-24,"ID173",17
20051,2014-10-16,"ID005",18
20051,2014-10-16,"ID169",13
21569,2016-05-12,"ID169",15
21983,2016-10-05,"ID130",32
21983,2016-10-05,"ID114",22
17759,2010-10-20,"ID176",10
17759,2010-10-20,"ID091",4
17759,2010-10-20,"ID092",8
18231,2012-06-08,"ID027",42
18231,2012-06-08,"ID034",13
18231,2012-06-08,"ID107",38
18231,2012-06-08,"ID135",12
24632,2018-06-27,"ID174",11
24814,2018-07-23,"ID091",12
25187,2018-08-12,"ID159",32
25743,2019-07-15,"ID008",22
16458,2007-07-26,"ID022",25
17105,2009-08-04,"ID026",4
17873,2011-06-12,"ID153",4
17873,2011-06-12,"ID105",13
17873,2011-06-12,"ID132",35
17873,2011-06-12,"ID164",22
17873,2011-06-12,"ID020",19
17873,2011-06-12,"ID008",14
17873,2011-06-12,"ID137",17
19212,2013-10-07,"ID073",41
19212,2013-10-07,"ID099",26
19212,2013-10-07,"ID105",16
19212,2013-10-07,"ID162",5
19212,2013-10-07,"ID164",24
19212,2013-10-07,"ID137",19
19212,2013-10-07,"ID035",16
19566,2013-11-23,"ID099",26
20847,2015-07-03,"ID063",39
21257,2015-09-17,"ID061",9
22571,2017-11-07,"ID153",10
22571,2017-11-07,"ID020",25
25270,2018-09-22,"ID014",31
25978,2019-10-09,"ID100",33
25978,2019-10-09,"ID093",30
26340,2019-12-02,"ID110",14
26340,2019-12-02,"ID171",18
26340,2019-12-02,"ID176",19
26340,2019-12-02,"ID049",19
16511,2008-06-14,"ID080",23
16543,2008-06-23,"ID086",4
16543,2008-06-23,"ID049",8
17914,2011-06-26,"ID029",12
18845,2013-06-16,"ID153",6
18845,2013-06-16,"ID020",21
18845,2013-06-16,"ID063",37
19051,2013-08-06,"ID025",17
19051,2013-08-06,"ID068",18
19107,2013-09-01,"ID124",23
19107,2013-09-01,"ID173",19
16296,2007-06-05,"ID073",35
17124,2009-08-06,"ID015",11
17925,2011-06-29,"ID090",14
17925,2011-06-29,"ID070",16
17925,2011-06-29,"ID101",16
17925,2011-06-29,"ID056",15
17925,2011-06-29,"ID079",12
17925,2011-06-29,"ID163",19
17925,2011-06-29,"ID170",25
19186,2013-10-02,"ID092",11
19421,2013-11-10,"ID027",43
19421,2013-11-10,"ID052",19
19421,2013-11-10,"ID110",8
19421,2013-11-10,"ID171",12
19421,2013-11-10,"ID130",29
19421,2013-11-10,"ID114",19
19421,2013-11-10,"ID062",4
19421,2013-11-10,"ID150",15
19421,2013-11-10,"ID049",13
20091,2014-10-21,"ID110",9
20091,2014-10-21,"ID114",20
20443,2015-05-21,"ID091",9
20443,2015-05-21,"ID092",13
20527,2015-06-04,"ID058",18
20796,2015-06-29,"ID058",18
20973,2015-08-06,"ID147",24
21106,2015-08-26,"ID095",25
21295,2015-09-23,"ID113",13
25279,2018-10-02,"ID013",28
25490,2019-08-03,"ID108",23
25490,2019-08-03,"ID160",32
25935,2019-08-06,"ID150",21
17384,2009-12-10,"ID130",25
17384,2009-12-10,"ID150",11
17561,2010-06-13,"ID159",24
17561,2010-06-13,"ID154",9
17970,2011-07-16,"ID012",39
20352,2015-04-29,"ID162",7
20352,2015-04-29,"ID164",25
20672,2015-06-16,"ID020",23
21047,2015-08-18,"ID065",8
21047,2015-08-18,"ID045",18
21047,2015-08-18,"ID026",10
22136,2017-05-30,"ID123",25
22136,2017-05-30,"ID093",28
22136,2017-05-30,"ID141",23
22136,2017-05-30,"ID053",17
22610,2017-11-23,"ID153",10
22610,2017-11-23,"ID105",20
22610,2017-11-23,"ID020",25
22610,2017-11-23,"ID004",6
22707,2017-10-21,"ID151",7
22707,2017-10-21,"ID018",16
22707,2017-10-21,"ID020",25
22707,2017-10-21,"ID063",41
22707,2017-10-21,"ID008",20
22707,2017-10-21,"ID137",23
24799,2018-07-20,"ID099",31
25600,2019-05-31,"ID087",20
16520,2008-06-16,"ID092",6
16833,2008-09-29,"ID057",22
19021,2013-07-29,"ID013",23
19841,2014-07-15,"ID086",11
21168,2015-09-03,"ID169",14
21222,2015-09-09,"ID034",16
22250,2017-06-18,"ID087",19
22550,2017-11-02,"ID151",7
22550,2017-11-02,"ID020",25
22550,2017-11-02,"ID008",20
22550,2017-11-02,"ID004",6
24737,2018-07-04,"ID112",27
24737,2018-07-04,"ID049",18
25259,2018-09-21,"ID091",12
25733,2019-07-07,"ID020",27
25733,2019-07-07,"ID009",7
16402,2007-07-07,"ID171",5
17221,2009-10-10,"ID112",18
18353,2012-07-05,"ID030",30
18353,2012-07-05,"ID175",13
18353,2012-07-05,"ID072",25
18353,2012-07-05,"ID173",18
19235,2013-10-13,"ID153",6
20213,2014-11-20,"ID157",26
20213,2014-11-20,"ID036",12
20213,2014-11-20,"ID084",14
20862,2015-07-18,"ID149",6
20862,2015-07-18,"ID146",30
20862,2015-07-18,"ID022",33
20862,2015-07-18,"ID025",19
20862,2015-07-18,"ID123",23
